,TipoFuncion,parentesisIZQ,parentesisDER,pcoma,llaveIZQ,llaveDER,Asignacion,return,int,float,string,identificador,numeroentero,numeroflotante,texto,imprimir,menor_que,mayor_que,maIgual_que,meIgual_que,iguaQue,Suma,Resta,Mult,Div,And,Or,For,in,rango,While,If,Else,$
PROGRAMAINICIO, FUNCION PROGRAMAINICIO,,,,,ε,,ε, ASIGNACION PROGRAMAINICIO, ASIGNACION PROGRAMAINICIO, ASIGNACION PROGRAMAINICIO, LLAMADAFUNCION PROGRAMAINICIO,,,, IMPRIMIR PROGRAMAINICIO,,,,,,,,,,,, PARA PROGRAMAINICIO,,, MIENTRAS PROGRAMAINICIO, CONDICIONALIF PROGRAMAINICIO,,ε
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCION, TipoFuncion NOMBREFUNCION parentesisIZQ PARAMETRO1 parentesisDER CODIGOFUNCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETRO1,,, ε,,,,,,,,, IDENTIFICADOR PARAMETROSFUNCION,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETROSFUNCION,,, ε, pcoma IDENTIFICADOR PARAMETROSFUNCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOFUNCION,,,,, llaveIZQ CODIGOFUNCIONEXTENDIDO RETORNAR ELEMENTO llaveDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOFUNCIONEXTENDIDO, PROGRAMAINICIO,,,,,,, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO,,,, PROGRAMAINICIO,,,,,,,,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBREFUNCION,,,,,,,,,,,, IDENTIFICADOR,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLAMADAFUNCION,,,,,,,,,,,, ASIGNACIONFUN NOMBREFUNCION parentesisIZQ ARGUMENTOSFUNCION parentesisDER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGUMENTOSFUNCION,,, ε,,,,,,,,,, DATOPURO ARGUMENTOSFUNCION2,ARGUMENTOS DATOPURO ARGUMENTOSFUNCION2, DATOPURO ARGUMENTOSFUNCION2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGUMENTOSFUNCION2,,, ε, pcoma DATOPURO ARGUMENTOSFUNCION2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIGNACIONFUN,,,,,,,,,,,, IDENTIFICADOR Asignacion,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETORNAR,,,,,,,, return,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEMENTO,,,,,,,,, TIPOVARIABLE, TIPOVARIABLE, TIPOVARIABLE, IDENTIFICADOR, DATOPURO, DATOPURO, DATOPURO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEMENTO2,, parentesisIZQ EXPRESION parentesisDER,,,,,,,,,, IDENTIFICADOR, DATOPURO, DATOPURO, DATOPURO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPOVARIABLE,,,,,,,,, int, float, string,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICADOR,,,,,,,,,,,, identificador,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATOPURO,,,,,,,,,,,,, numeroentero, numeroflotante, texto,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPRIMIR,,,,,,,,,,,,,,,, imprimir parentesisIZQ ELEMENTO2 parentesisDER,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIGNACION,,,,,,,,, TIPOVARIABLE IDENTIFICADOR Asignacion ELEMENTO2 ASIGNACIONBUCLE, TIPOVARIABLE IDENTIFICADOR Asignacion ELEMENTO2 ASIGNACIONBUCLE, TIPOVARIABLE IDENTIFICADOR Asignacion ELEMENTO2 ASIGNACIONBUCLE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIGNACIONBUCLE, ε,,,,, ε,, ε, ε, ε, ε, ε,,,, ε,,,,,, OPERADORES ELEMENTO2 ASIGNACIONBUCLE, OPERADORES ELEMENTO2 ASIGNACIONBUCLE, OPERADORES ELEMENTO2 ASIGNACIONBUCLE, OPERADORES ELEMENTO2 ASIGNACIONBUCLE,,, ε,,, ε, ε,, ε
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESION,, ELEMENTO2 EXPRESIONBUCLE, ε,,,,,,,,, ELEMENTO2 EXPRESIONBUCLE, ELEMENTO2 EXPRESIONBUCLE, ELEMENTO2 EXPRESIONBUCLE, ELEMENTO2 EXPRESIONBUCLE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESIONBUCLE,,,,,,,,,,,,,,,,,,,,,, OPERADORES EXPRESION, OPERADORES EXPRESION, OPERADORES EXPRESION, OPERADORES EXPRESION,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMBOLOSDECOMPARACION,,,,,,,,,,,,,,,,, menor_que, mayor_que, maIgual_que, meIgual_que, iguaQue,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADORES,,,,,,,,,,,,,,,,,,,,,, Suma, Resta, Mult, Div,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADORESLOGICOS,,,,,,,,,,,,,,,,,,,,,,,,,, And, Or,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPARACION,, ELEMENTO2 SIMBOLOSDECOMPARACION ELEMENTO2 MASCOMPARACIONES,,,,,,,,,, ELEMENTO2 SIMBOLOSDECOMPARACION ELEMENTO2 MASCOMPARACIONES, ELEMENTO2 SIMBOLOSDECOMPARACION ELEMENTO2 MASCOMPARACIONES, ELEMENTO2 SIMBOLOSDECOMPARACION ELEMENTO2 MASCOMPARACIONES, ELEMENTO2 SIMBOLOSDECOMPARACION ELEMENTO2 MASCOMPARACIONES,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCOMPARACIONES,,, ε,,,,,,,,,,,,,,,,,,,,,,, OPERADORESLOGICOS COMPARACION, OPERADORESLOGICOS COMPARACION,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA,,,,,,,,,,,,,,,,,,,,,,,,,,,, para IDENTIFICADOR in rango parentesisIZQ CODIGORANGO parentesisDER CODIGOWHILE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGORANGO,, ELEMENTO2 MASRANGO, ε,,,,,,,,, ELEMENTO2 MASRANGO, ELEMENTO2 MASRANGO, ELEMENTO2 MASRANGO, ELEMENTO2 MASRANGO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASRANGO,,, ε, pcoma ELEMENTO2 MASRANGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOWHILE,,,,, llaveIZQ CODIGOEXTENDIDOPARA llaveDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOEXTENDIDOPARA, PROGRAMAINICIO,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO,,,, PROGRAMAINICIO,,,,,,,,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIENTRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, While parentesisIZQ COMPARACION parentesisDER CODIGOMIENTRAS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOMIENTRAS,,,,,llaveIZQ CODIGOEXTENDIDOMIENTRAS llaveDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOEXTENDIDOMIENTRAS, PROGRAMAINICIO,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO,,,, PROGRAMAINICIO,,,,,,,,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONALIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, If parentesisIZQ COMPARACION parentesisDER CODIGOIF,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOIF,,,,, llaveIZQ CODIGOSIEXTENDIDOSI llaveDER CODIGOELSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOSIEXTENDIDOSI, PROGRAMAINICIO,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO,,,, PROGRAMAINICIO,,,,,,,,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOELSE, ε,,,,, ε,, ε, ε, ε, ε, ε,,,, ε,,,,,,,,,,,, ε,,, ε, ε, Else llaveIZQ CODIGOSIEXTENDIDOELSE llaveDER, ε
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGOSIEXTENDIDOELSE, PROGRAMAINICIO,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO, PROGRAMAINICIO,,,, PROGRAMAINICIO,,,,,,,,,,,, PROGRAMAINICIO,,, PROGRAMAINICIO, PROGRAMAINICIO,,